,Name,Latitude,Longitude,Rating,Address
233,Healthy Pet Hospital and Grooming,33.788944,-117.816866,4.5,"3411 E Chapman Ave, Orange"
234,Grand Pet Care Center,33.759041,-117.852221,4.6,"1602 N Grand Ave, Santa Ana"
235,Pacific Park Animal Hospital,33.567919,-117.70926,4.4,"27261 La Paz Rd H, Laguna Niguel"
236,Perris Valley Veterinary Clinic,33.8160097,-117.2286809,3.8,"2560 N Perris Blvd, Perris"
237,Pet Supplies Plus,33.728658,-118.025502,4.6,"5912 Edinger Ave, Huntington Beach"
238,PetStore.com,33.7556944,-117.9392341,3.4,"14271 Corporate Dr, Garden Grove"
239,Kahoots Pet Store,33.6923715,-117.9924774,4.2,"18681 Main St, Huntington Beach"
240,Kahoots Feed & Pet Store,33.5542378,-117.2074987,4.7,"41711 Ivy St, Murrieta"
241,Kahoots Pet Store,33.372436,-117.252433,4.4,"1101 S Main Ave B, Fallbrook"
242,Kahoots Pet Store,33.1770658,-117.3249001,4.6,"2616 El Camino Real, Carlsbad"
243,Kahoots Feed & Pet Store,33.8820704,-117.3686806,4.5,"16851 Van Buren Boulevard, Riverside"
244,Pets Plus,33.497631,-117.66222,4.5,"32022 Camino Capistrano, San Juan Capistrano"
245,PetSmart,33.6719934,-117.9533672,4.7,"20002 Brookhurst St, Huntington Beach"
246,Petco,33.5889354,-117.6734601,4.2,"25592 El Paseo, Mission Viejo"
247,Pier K9 Pet Shop,33.188113,-117.373785,4.8,"403 Wisconsin Ave ste c, Oceanside"
248,Puppy Store,33.7758987,-117.870425,3.5,"2800 N Main St #632, Santa Ana"
249,Kriser's Natural Pet,33.6717269,-117.7894796,4.4,"Alton Square, 5365 Alton Pkwy, Irvine"
250,Zoom Room Dog Training,33.685642,-117.9904309,4.6,"19069 Beach Blvd, Huntington Beach"
251,Paw In Order,33.8021939,-117.8590025,4.9,"618 W Collins Ave, Orange"
252,Petco,33.5889354,-117.6734601,4.2,"25592 El Paseo, Mission Viejo"
253,Catherine's Pet Services,33.6370118,-117.8594386,0.0,"9413 Residencia, Newport Beach"
254,PetSmart,33.6719934,-117.9533672,4.7,"20002 Brookhurst St, Huntington Beach"
255,AAA Animal Hospital,33.8752364,-117.5615939,4.6,"425 E 6th St, Corona"
256,Grand Pet Care Center,33.759041,-117.852221,4.6,"1602 N Grand Ave, Santa Ana"
257,Healthy Pet Hospital and Grooming,33.788944,-117.816866,4.5,"3411 E Chapman Ave, Orange"
258,Pacific Park Animal Hospital,33.567919,-117.70926,4.4,"27261 La Paz Rd H, Laguna Niguel"
259,Perris Valley Veterinary Clinic,33.8160097,-117.2286809,3.8,"2560 N Perris Blvd, Perris"
260,Dirty Dogs Carlsbad,33.127856,-117.26821,4.6,"#105, 2521 Palomar Airport Rd, Carlsbad"
261,Coast Pet Supplies & Grooming,33.5473156,-117.7964092,5.0,"880 N Coast Hwy, Laguna Beach"
262,PETIAN,33.87063,-117.939096,4.8,"749 W Commonwealth Ave, Fullerton"
263,Kriser's Natural Pet,33.6717269,-117.7894796,4.4,"Alton Square, 5365 Alton Pkwy, Irvine"
264,Pet Shop & Grooming,33.8640678,-117.5424961,0.0,Corona
265,Horizon Pet Supply,33.5967193,-117.2470338,4.4,"36068 Hidden Springs Rd, Wildomar"
266,Kriser's Natural Pet,33.62841,-117.906317,4.4,"1044 Irvine Ave, Newport Beach"
267,Kriser's Natural Pet,33.554533,-117.713247,4.3,"23894 Aliso Creek Rd, Laguna Niguel"
268,Coast Pet Supplies & Grooming,33.5473156,-117.7964092,5.0,"880 N Coast Hwy, Laguna Beach"
269,Pussy & Pooch Pethouse and Pawbar,33.761255,-118.1376665,4.2,"4818 E 2nd St, Long Beach"
